user_id,age,gender
1283,62,男
1284,63,男
1285,22,女
1286,44,女
1287,52,女
1288,44,男
1289,31,女
1290,42,男
1291,54,女
1292,48,男
1293,40,女
1294,42,女
1295,52,男
1296,49,男
1297,35,女
1298,49,男
1299,42,女
1300,60,女
1301,64,男
1302,47,男
1303,57,男
1304,43,男
1305,23,女
1306,26,女
1307,29,男
1308,34,女
1309,38,男
1310,47,女
1311,39,女
1312,35,女
1313,34,男
1314,48,男
1315,65,男
1316,40,男
1317,59,男
1318,59,男
1319,19,男
1320,30,男
1321,57,男
1322,33,男
1323,48,男
1324,54,男
1325,47,女
1326,41,男
1327,56,男
1328,28,女
1329,24,男
1330,37,女
1331,43,男
1332,22,男
1333,24,女
1334,61,男
1335,54,男
1336,40,女
1337,60,女
1338,22,女
1339,18,女
1340,49,男
1341,45,女
1342,58,女
1343,63,男
1344,45,男
1345,64,女
1346,57,女
1347,47,女
1348,64,女
1349,38,男
1350,23,女
1351,46,男
1352,47,女
1353,39,男
1354,49,女
1355,29,女
1356,31,女
1357,34,女
1358,35,女
1359,53,男
1360,51,男
1361,23,男
1362,64,女
1363,49,男
1364,62,女
1365,59,女
1366,46,男
1367,23,女
1368,32,女
1369,62,男
1370,37,女
1371,48,女
1372,45,女
1373,40,女
1374,35,女
1375,34,男
1376,25,男
1377,38,男
1378,65,男
1379,30,男
1380,65,女
1381,35,女
1382,24,男
1383,36,男
1384,41,男
1385,37,男
1386,63,男
1387,35,男
1388,21,女
1389,62,男
1390,58,女
1391,24,男
1392,54,女
1393,48,女
1394,46,女
1395,29,男
1396,34,女
1397,25,男
1398,43,女
1399,22,男
1400,27,男
1401,54,女
1402,23,男
1403,25,女
1404,56,男
1405,51,女
1406,46,女
1407,37,女
1408,37,男
1409,57,男
1410,31,男
1411,34,男
1412,28,男
1413,29,男
1414,28,男
1415,44,女
1416,62,女
1417,36,男
1418,32,女
1419,63,女
1420,62,女
1421,22,男
1422,34,男
1423,45,男
1424,52,男
1425,59,男
1426,35,男
1427,22,男
1428,28,女
1429,56,女
1430,46,男
1431,47,女
1432,62,女
1433,35,女
1434,46,男
1435,56,男
1436,45,女
1437,56,女
1438,19,男
1439,32,男
1440,61,女
1441,54,男
1442,29,女
1443,51,女
1444,35,男
1445,55,女
1446,58,女
1447,23,女
1448,40,女
1449,39,女
1450,60,男
1451,28,女
1452,44,女
1453,36,女
1454,53,男
1455,47,男
1456,38,女
1457,38,男
1458,43,男
1459,60,女
1460,44,男
1461,30,女
1462,57,女
1463,58,女
1464,21,男
1465,35,男
1466,36,女
1467,62,女
1468,25,男
1469,58,男
1470,63,男
1471,37,男
1472,53,女
1473,23,男
1474,25,女
1475,25,男
1476,49,女
1477,50,女
1478,44,女
1479,48,男
1480,47,男
1481,42,男
1482,56,男
1483,22,女
1484,44,女
1485,50,女
1486,18,女
1487,64,女
1488,55,女
1489,27,女
1490,52,女
1491,40,女
1492,53,女
1493,47,女
1494,30,男
1495,54,女
1496,32,女
1497,20,女
1498,65,女
1499,63,女
